,submission_date,assignment code,outcome code,outcome year,course_id,semester,course,section,outcome score,outcome rating,college,compliance
38945,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39003,2022-05-04,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39040,2022-04-30,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40616,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40709,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
45741,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
18141,2022-01-20,448165,S1,U1516,SP2022_BIOL1060_1U,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,Outcome attached - no assessment
34204,2022-01-23,448165,S1,U1516,SP2022_BIOL1060_1U,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,Outcome attached - no assessment
34451,2022-01-20,448165,S1,U1516,SP2022_BIOL1060_1U,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,Outcome attached - no assessment
34934,2022-01-20,448165,S1,U1516,SP2022_BIOL1060_1U,SP2022,BIOL1060,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,Outcome attached - no assessment
6576,2022-04-23,463133,S3,U1516,SP2022_KINE1005_1U,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
